Name,Full Description,Category,Email,Website,Facebook,Instagram,Twitter,YouTube,LinkedIn
NMDP on Campus,"For patients with life-threatening blood cancers like leukemia and lymphoma or other life-threatening diseases, a cure exists – a marrow transplant. We lead the fight to advance the science of transplant, support patients at every step of their journey and empower people to give the greatest gift of all – the gift of life. NMDP On Campus at UCLA is a student-run organization with the goals of raising money to facilitate transplants & research and recruiting young, healthy donors to the registry.","Medical, Service",[bethematchucla@gmail.com](mailto:bethematchucla@gmail.com),[https://nmdpucla.weebly.com/](https://nmdpucla.weebly.com/),,https://www.instagram.com/nmdp_ucla/,,,
"Nova, Tech for Good",We are a team of students at UCLA who aim to create high-impact technology that empowers nonprofits to better serve their communities.,"Engineering, Service",[hello@novaforgood.org](mailto:hello@novaforgood.org),[http://novaforgood.org/](http://novaforgood.org/),https://www.facebook.com/novaforgood,https://www.instagram.com/novaforgood,,,
NROTC Conning Tower,"NROTC Conning Tower is a student-run organization for UCLA students and staff in the Naval Reserve Officer Training Corps (NROTC) program. Its purpose is to train and develop the future commissioned officers of the United States Navy and Marine Corps, and to encourage student involvement and to promote service activities within the UCLA and LA community.","Leadership, Service",[nrotc@navsci.ucla.edu](mailto:nrotc@navsci.ucla.edu),[https://navsci.ucla.edu/](https://navsci.ucla.edu/),https://www.facebook.com/UCLANavSci/,https://www.instagram.com/ucla_nrotc/?hl=en,,,
Ocean Resources for Conservation and Advocacy (ORCA),ORCA provides a community for students interested in the marine world to dedicate themselves to actively promoting conversations on ocean conservation and justice. ORCA also provides marine resources for achieving career-related goals and policy progress.,"Environmental, Service",[uclaoceanrca@gmail.com](mailto:uclaoceanrca@gmail.com),[https://uclaorca.wixsite.com/ocean](https://uclaorca.wixsite.com/ocean),,https://www.instagram.com/uclaorca/,,,
Olami,"Olami translates to ""My World,"" embodying the organization's mission to make a meaningful impact on the world. At its core, Olami is dedicated to fostering growth, self-discovery, and positive change among Jewish students. It provides a supportive and inspiring space where individuals can connect with their heritage, embrace their identity, and thrive both personally and spiritually. The organization places a strong emphasis on the power of good deeds, kindness, and striving for personal advancement. Through its programs, Olami inspires students to actively engage with their communities, building connections that do not just focus on individual growth but also contribute to a more compassionate world. By encouraging meaningful actions and fostering a place for growth, Olami empowers students to become agents of change, making a lasting difference in their lives and the lives of others.","Religious - Jewish, Service - Community Involvement",[shemuel.benady@gmail.com](mailto:shemuel.benady@gmail.com),[https://ucla.olami.org](https://ucla.olami.org/),https://www.facebook.com/share/15W2BHNsnE/?mibextid=wwXIfr,https://www.instagram.com/olamiucla/,,,
Operation Smile at DGSOM,Operation Smile is a non-profit organization that provides facial reconstructive surgery (children's cleft lip and cleft palate repair) in medically-underserved countries.,"Medical, Service",[operationsmiledgsom@gmail.com](mailto:operationsmiledgsom@gmail.com),,,,,,
Organization for Cultural Diversity in Science,"The Organization for Cultural Diversity in Science (OCDS) is a student-run organization housed in the physical sciences. OCDS aims to foster a network of support for students belonging to diverse backgrounds. The organization plans and executes several events, including outreach, academic lectureships, professional development activities, and social events towards this goal.","Cultural, Service",[ocds.ucla@gmail.com](mailto:ocds.ucla@gmail.com),[http://uclaocds.weebly.com](http://uclaocds.weebly.com/),,,https://twitter.com/ucla_ocds,,
Ovarian Outreach at UCLA,"Ovarian Outreach at UCLA is about supporting and empowering those impacted by ovarian cancer. We work to raise awareness, advocate for survivors, and build a community where people feel understood and cared for. Through fundraising, education, and meaningful connections, we’re here to make a real difference in the lives of those navigating this journey.","Medical, Service",[marilynmisakyan@g.ucla.edu](mailto:marilynmisakyan@g.ucla.edu),,,,,,
"Parents, Educators/Teachers, and Students in Action at UCLA","PESA (Parents, Educators/Teachers, and Students in Action) at UCLA is dedicated to empowering students and youth by fostering a culture of mentorship, community engagement, and academic excellence. As an extension of the vital work carried out by PESA, our club focuses on providing critical services such as tutoring, mental health support, educational programming, and mentorship to young learners in Los Angeles County. Additionally, we collaborate with local schools and community organizations to support diversion programs that transform juvenile referrals into opportunities for personal growth and success. Partnering with the main organization, we will help bring opportunities to UCLA. At UCLA, we aim to inspire Bruins to become changemakers by connecting their academic pursuits with meaningful community impact. Together, we strive to create a brighter future for the next generation.","Educational, Service - Community Involvement",[pesaucla@gmail.com](mailto:pesaucla@gmail.com),,,,,,
PCRF at UCLA,"The Palestine Children’s Relief Fund (PCRF) is an international, non-political, secular philanthropy that serves Middle Eastern children in need of humanitarian and medical aide. At UCLA, we are planning to open a chapter, PCRF-UCLA with the help of the parent chapter and UCLA students passionate in helping with humanitarian and medical aide. We will be fundraising towards these philanthropic efforts and educating students on the needs of the children afflicted by natural disasters, wars, and instability.","Service, Service - Community Involvement",[pcrfucla@gmail.com](mailto:pcrfucla@gmail.com),[https://www.pcrf.net/](https://www.pcrf.net/),,https://www.instagram.com/pcrf.ucla/,,,
"Phi Beta Sigma Fraternity, Inc.","It is Phi Beta Sigma Fraternity, Incorporated's goal to become the leading proactive community service organization focusing on issues and strategies that positively impact young males in our communities through promoting brotherhood, scholarship and service while focusing on culture for service and service for humanity through out our communities.","Greek Life - Fraternities, Service",[uclasigmas1914@gmail.com](mailto:uclasigmas1914@gmail.com),,,,,,
Physical Sciences Student Association,"The Physical Sciences Student Association aims to serve Physical Science students with their academic and social needs, through collaboration, programming, and other community-building activities.","Leadership, Service - Retention",[physicalscience@ucla.edu](mailto:physicalscience@ucla.edu),,,,,,
Points for Pediatrics,"Points for Pediatrics is a student-led organization at UCLA that organizes quarterly tournament-like sports activities, to provide an exciting platform for students to showcase their athletic skills while fundraising for a charitable cause regardless of club or IM involvement. The club's mission is to promote equitable access to athletics for UCLA students and create lasting change in the lives of children in local and worldwide communities by combining sports with the fulfillment of philanthropy.","Service - Community Involvement, Sports",[Pointsforpediatrics@gmail.com](mailto:Pointsforpediatrics@gmail.com),,,https://www.instagram.com/points4peds?igsh=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,,,
Policy Impact Coalition,"The Policy Impact Coalition (PIC) at UCLA is a revolutionizing student-led organization committed to directing impactful policies that prioritize the rights, needs, and aspirations of the UCLA student body. By providing a formal and accessible platform for contesting existing legislation and proposing innovative solutions, PIC empowers students to play an active role in shaping the policies that affect our community - whether it’s dining, housing, or broader campus initiatives. This club is not just for students in specific disciplines; it’s for every Bruin who believes in the power of change. Policies affect us all, and PIC is here to ensure that every voice has a platform, every concern is addressed, and every solution is heard. Objectives: Promote Policy Awareness Raise awareness of current campus policies and their impacts on the UCLA community, fostering informed discussions and engagement among students. Influence Decision-Making Serve as a bridge between students and campus leadership, advocating for student-driven solutions and ensuring student voices are heard in policy decisions. Challenge and Reform Identify areas for improvement in existing campus policies—such as dining, housing, and student services—and propose actionable, well-researched reforms that prioritize student well-being. Provide Skill Development and Leadership Opportunities Equip members with skills in policymaking, public speaking, persuasive writing, and strategic advocacy to prepare them for leadership roles in law, business, journalism, and beyond. Drive Measurable Change Focus on delivering tangible outcomes through formal proposals, campaigns, and initiatives that enhance the quality of life for UCLA students. Activities: Policy Reform Writing and Advocacy Projects Members will collaborate on drafting formal documents, such as policy proposals and reform recommendations, aimed at improving existing campus policies by conducting thorough research, gathering student feedback, and presenting actionable solutions to university leadership. Policy Analysis and Educational Workshops Through regular workshops and seminars, members will analyze current legal policies and ongoing legislative changes at the campus, local, and national levels, fostering critical discussions and empowering students to understand and respond to the dynamic policy landscape. Student Voices Platform The club will organize structured forums, town halls, and surveys to provide students with a dedicated platform to voice their concerns, propose ideas for improvement, and collaborate with peers to initiate meaningful policy changes on campus. Professional Simulations and Skill Development Members will gain valuable professional experience by participating in simulated environments that mirror roles in legal, governmental, or journalistic fields, including mock legislative sessions, legal drafting exercises, and public policy debates. Campaign Leadership and Advocacy Training Members will have opportunities to lead impactful campaigns addressing critical campus issues such as housing, dining, and sustainability, learning how to effectively organize, communicate, and advocate with key stakeholders to drive real change. Collaborative Policy Research Teams Small, focused teams within the club will take on in-depth research projects to explore pressing campus issues, producing comprehensive reports with data-driven recommendations to influence policy decisions at UCLA. Publications and Campus Outreach Members will contribute to a biannual policy journal or blog to showcase their analyses, proposals, and updates, increasing the club’s visibility and positioning it as a trusted thought leader within the UCLA community. Annual Policy Innovation Challenge The club will host an engaging competition where teams of students propose innovative solutions to pressing campus issues, encouraging creativity, collaboration, and actionable ideas that can make a tangible impact on university policies.","Service - Community Involvement, Social Activism",[impactcoalitionucla@gmail.com](mailto:impactcoalitionucla@gmail.com),,,,,,
Project Inspire,"The purpose of Project Inspire is to: Provide a supportive community for individuals directly affected by psychosis, voices, visions, and “unusual beliefs,” as well as for their family members. Connect affected individuals with on-campus resources—such as the CAE, caseworking office, aftercare program, CAPPS, AAP, and disability union—only if they seek support. Reduce stigma surrounding psychosis, voices, visions, and “unusual beliefs” through educational outreach, including visiting public schools in Los Angeles to teach about these experiences. Host guest speakers, including individuals with lived experiences as well as experts on psychosis, voices, visions, and “unusual beliefs.” Engage with the greater Los Angeles community by offering mentorship programs that connect undergraduate and graduate students with exemplary role models. Empower those affected to take pride in their experiences , helping them overcome feelings of shame and guilt.","Educational, Service",[projectinspireucla@gmail.com](mailto:projectinspireucla@gmail.com),,,https://www.instagram.com/projectinspireucla/,,,
Project RISHI,"Our mission is to promote the sustainable development and health improvement of rural communities in India through initiatives addressing relevant local disparities. Students research and implement projects that directly address the needs of these communities, while emphasizing preventative healthcare, accessible healthcare, community empowerment, water, sanitation, and hygiene, and reproductive health.","Service, Service - Outreach",[initiatives.prucla@gmail.com](mailto:initiatives.prucla@gmail.com),[https://www.projectrishiucla.org/](https://www.projectrishiucla.org/),https://www.facebook.com/projectrishiucla/,https://www.instagram.com/projectrishiucla/?hl=en,,,
Project SPELL at UCLA,"Project SPELL is a student-run organization which provides individualized English tutoring lessons for UCLA frontline employees. We also focus on learners' career and personal development goals such as citizenship exam practice, job applications and resumes, and mock interview practice, and more. Project SPELL aims to build a tight-knit community of tutors through team- and community-building activities and empower them in their professional endeavors through career guidance and networking events.","Service, Service - Community Involvement",[project.spell@gmail.com](mailto:project.spell@gmail.com),,https://www.facebook.com/pg/ProjectSpell/about/,https://www.instagram.com/uclaprojectspell/?hl=en,https://twitter.com/Project_SPELL?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,
Public Interest Student Association,"Public Interest Student Association (PISA) is a group that seeks to equip law students with the community and resources necessary to engage in a lifelong career in public interest law. Through mentorship, education, and advocacy, we aim to build a strong public interest community at UCLA Law.","Law, Service - Outreach",[pisa@lawnet.ucla.edu](mailto:pisa@lawnet.ucla.edu),,,,,,
Puente@UCLA,"The purpose and vision of this club is to create leadership opportunities, community service, and be a welcome committee to hopeful UCLA students, while creating unity among members who have similar cultural ties.","Cultural/Ethnic, Service - Outreach",[puenteatucla@gmail.com](mailto:puenteatucla@gmail.com),,,https://www.instagram.com/puenteatucla/?igshid=NTc4MTIwNjQ2YQ%3D%3D,,,
Quills to Connect,Quills to Connect is a pen-pal program that seeks to build meaningful connections between students and senior citizens through letter writing. Our main focus is to improve the mental health of both our student volunteers and seniors by combatting loneliness through the building of meaningful relationships. Members will be paired with a senior pen-pal that resides in a Los Angeles senior home. We hope you join our mission!,"Service - Community Involvement, Health and Wellness",[quillstoconnect@gmail.com](mailto:quillstoconnect@gmail.com),[https://quillsatucla.weebly.com/](https://quillsatucla.weebly.com/),https://www.facebook.com/Quillstoconnect/?ref=page_internal,https://www.instagram.com/quillsatucla/,,,
Reading Partners,"Reading Partners is a non-profit national organization that offers one-on-one tutoring for students in Title I underfunded school areas. The UCLA chapter is not a non-profit organization, but we will be working with the national organization to promote their mission. The goal is to help children who are significantly behind grade level in reading and improve children's reading skills. With this club, members are trained to volunteer with Reading Partners as tutors to deliver instruction through a set curriculum.","Service - Community Involvement, Educational",[readingpartnersucla@gmail.com](mailto:readingpartnersucla@gmail.com),,,https://www.instagram.com/readingpartnersucla/,,,
Reproductive Education and Community Health,"Our organization serves the need for extensive health and sex education for middle and high schoolers, especially in underprivileged communities. We train UCLA students to teach a variety of lessons covering topics such as gender, sexuality, healthy relationships, bullying, and more.","Service - Community Involvement, Health and Wellness",[reach.lastudents@gmail.com](mailto:reach.lastudents@gmail.com),,,https://www.instagram.com/reachucla/,,,
Rotaract Club @ UCLA,"""Service Above Self "" - We aim to provide an opportunity for college students to enhance their knowledge and skills that will assist them in personal and professional development, address the physical and social needs of their communities, and promote better relations between all people worldwide through a framework of friendship and service. We want to create a community where students feel proud of the work they put in for the club as they become part of a cohesive and nurturing family that seeks to help the Westwood community and surrounding areas with one of the longest-standing international community service organizations: Rotary.","Community Service, Service - Community Involvement",[rotaractucla@gmail.com](mailto:rotaractucla@gmail.com),[https://sites.google.com/wvrc.net/rotaract](https://sites.google.com/wvrc.net/rotaract),https://www.facebook.com/BruinRotaract,https://www.instagram.com/rotaract_ucla/,,,
Sangre Brava at UCLA,"Sangre Brava is a student-led organization committed to addressing the critical blood shortage at Ronald Reagan UCLA Medical Center by engaging high schools across California in coordinated blood donation drives. Our primary focus is to inspire Latino and Latina students, who play a vital role in increasing donations from individuals with universal blood types. In addition to facilitating blood drives, we host workshops and information sessions at local schools and community centers to educate people about the importance of blood donation, dispel common myths, and underscore the life-saving impact for both donors and recipients. Beyond our blood donation efforts, Sangre Brava is dedicated to supporting educational equity. We organize fundraising initiatives to help students cover the costs of mandatory academic supplies, such as textbooks, lab coats, and goggles. By easing these financial burdens, we empower students to focus on their education without the stress of material constraints. Through these combined efforts, Sangre Brava seeks to create a lasting, positive impact on both public health and academic success.","Medical, Service",[sangrebrava01@gmail.com](mailto:sangrebrava01@gmail.com),,,https://www.instagram.com/uclasangrebrava?igsh=MXMyOHhobmlyN29lYQ%3D%3D&utm_source=qr,,,
Save The Children,"Save the Children is an international organization that provides children in the U.S. and around the world a healthy start in life, the opportunity to learn, and protection from harm. The purpose of our student chapter is to help support the efforts of Save the Children in Los Angeles through volunteering and fundraising events in our local community. Save the Children gives back to its members by providing them the opportunity to make connections with Los Angeles communities. Members can gain volunteer hours and participate in opportunities to advocate and fundraise for youth globally.","Service - Community Involvement, Leadership",[ucla.ca.stcclub@gmail.com](mailto:ucla.ca.stcclub@gmail.com),,,https://www.instagram.com/savethechildren.ucla?igsh=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,,,
Saving Hearts Foundation,"Saving Hearts Foundation is a student organization dedicated to hosting free heart screenings at high schools within the greater Los Angeles community to prevent sudden cardiac arrest (SCA) in our youth. SCA is the number one killer of student athletes and the number two killer of people under 25. There are no warning signs, but they can be detected and corrected with an EKG! Aside from volunteer-led heart screenings, Saving Hearts also holds speaking engagements to educate and spread awareness of sudden cardiac arrest, as well as raise funding to donate AED's to schools in need of one!","Medical, Service - Community Involvement",[uclashfvolunteer@gmail.com](mailto:uclashfvolunteer@gmail.com),[http://www.savingheartsfoundation.com](http://www.savingheartsfoundation.com/),https://www.facebook.com/savingheartsfoundation/,http://instagram.com/uclahearts,https://twitter.com/uclahearts,,
School on Wheels at UCLA,"School on Wheels at UCLA works to enhance educational opportunities for children who are experiencing homelessness from kindergarten through twelfth grade. Our goal is to shrink the gaps in their learning and provide them with the highest level of education possible. Our program serves as a consistent support system for our students during a time of great stress and fear. As an organization, we hope to encourage student involvement and to promote service activities within said community.","Community Service, Service - Community Involvement",[sowatucla@gmail.com](mailto:sowatucla@gmail.com),[https://sowatucla.wixsite.com/home](https://sowatucla.wixsite.com/home),https://www.facebook.com/SchoolOnWheelsUCLA,https://www.instagram.com/sowucla/,,,
Science Lab Teaching Club at UCLA,"The Science Lab Teaching Club was formed at UCLA Department of Physics and Astronomy in January 2012 under the scientific guidance of Dr. Konstantin Belov with several goals in mind, including: partially compensate the loss of the science teaching faculty at local public schools due to severe budget cuts; provide teaching experience for the undergraduate students majoring in physics and astronomy; spark interest in science in the next generation. The club members meet weekly during the school year to prepare lessons and practice lab demonstrations. The lessons on different STEM subjects are taught by the club members at local schools, catering to the interests of students of all age ranges. The emphasis is on teaching students in K-5 branches of physics such as electricity, magnetism, waves, and optics; however, we often branch out to other fields in STEM. Each lesson is accompanied by several spectacular demonstrations using the real laboratory equipment provided by the Department’s demo lab as well as presentations and additional demos designed and built by the club members. The club members strongly believe that in order to get children interested in science, technology, engineering, and math (STEM) subjects, science education should start at a very early age and each lesson should become a memorable experience for the kids. Club members have given presentations at the following schools: Norra Sterry Elementary School, Citizens of the World Mar Vista Charter School, Emerson Middle School, Palms Middle School, Fairburn Elementary School, Brentwood Science Magnet Elementary, and others. Undergraduate club member Nick Vincent has expressed his own enthusiasm for the program. ""The Science Teaching Club at UCLA gave me a great way to become involved in the community,"" said Nick. ""It encouraged me to use my passion for science to benefit local elementary schools. I think that my work with the Science Teaching Club has greatly augmented my education. The community service aspect has enriched my overall academic experience, the social aspect has allowed me to meet other physics students, and the cerebral challenge of designing quantum mechanics demonstrations for elementary school students truly engaged my mind.""","Service - Outreach, Educational",[sciteachucla@gmail.com](mailto:sciteachucla@gmail.com),[https://sltc.physics.ucla.edu/](https://sltc.physics.ucla.edu/),,,,,
Science Olympiad at UCLA,"Science Olympiad is the most exciting K-12 STEM competition held in the United States. For the past 40 years, it has inspired millions of young scholars to pursue careers in science and engineering. Science Olympiad at UCLA strives to further the Science Olympiad mission to make STEM education exciting and accessible to all. Today, one in four volunteers in official SoCal Science Olympiad tournaments are from UCLA. If you would like to get in touch with the Science Olympiad Alumni network at UCLA and learn more about how you can get involved, whether it's in organizing tournaments, planning workshops, or volunteering as an event supervisor, please reach out to the email below (scioly@ucla.edu)!","Service - Outreach, Engineering",[scioly@ucla.edu](mailto:scioly@ucla.edu),[https://socalscioly.org/?tab=volunteer&page=UCLA](https://socalscioly.org/?tab=volunteer&page=UCLA),,https://www.instagram.com/sciolyatucla/,,,
SCOPE Patient Health Advocates,"Patient Health Advocates (PHA) is a collaborative program between student advocates and UCLA physicians dedicated to connecting underserved patients with community resources to enhance their health and well-being. Volunteers conduct social casework at UCLA clinics, assisting patients of all backgrounds. The program offers a tailored training curriculum featuring public health topics and clinician panels, preparing members to effectively serve UCLA Health patients and physicians.","Service, Health and Wellness",[scope.pha@gmail.com](mailto:scope.pha@gmail.com),[https://www.scopepha.org/](https://www.scopepha.org/),,https://www.instagram.com/scopepha/,,,
Semillas,"Semillas aims to provide the children of farmworkers with the tools and resources necessary to further their education at an institution of higher learning whether it be a community college or a four-year university. We will do this by leading mentoring sites and university tours for children of farmworkers. In addition, with the understanding that the children of farmworkers face several obstacles which hinder their ability to succeed academically, we seek to offer tutoring services within our site meetings to help students maintain or improve their GPA.","Service - Community Involvement, Educational",[compas.ucla@gmail.com](mailto:compas.ucla@gmail.com),,https://www.facebook.com/Compas-at-UCLA-101295681770818/,https://www.instagram.com/semillas.ucla,,,
She’s the First at UCLA,"The purpose of She’s the First is to promote the importance of educational equity and global citizenship at UCLA. Through fundraising events, She’s the First provides funding for girls’ academic scholarships and advocacy workshops in international low-income areas within the larger She’s the First partner network. Our meetings often talk about current or historical events affecting women and girls so members can learn about and discuss global events freely. Our club has a strong sense of community as we have many socials both inside and outside of meetings.","Service, Leadership",[Shesthefirstucla@gmail.com](mailto:Shesthefirstucla@gmail.com),,,https://www.instagram.com/shesthefirstucla/,,,
Sigma Alpha Zeta Sorority Inc.,"The purpose of Sigma Alpha Zeta Sorority, Incorporated shall be to act as an elite multicultural group which promotes the upward mobility of women and enhances the community by means of education and voluntary services.","Greek Life - Sororities, Service - Community Involvement",[president.uclasaz@gmail.com](mailto:president.uclasaz@gmail.com),[https://uclasaz.wixsite.com/zetachapter](https://uclasaz.wixsite.com/zetachapter),,https://www.instagram.com/ucla_saz?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,,
Sigma Delta Sigma Sorority,"Founded in May of 2000, Sigma Delta Sigma exists as a sisterhood of diverse and service-minded college educated women. As the alpha chapter of this premier multicultural and community-service based sorority, the women of SDS strive to cultivate lifelong friendships whilst simultaneously bettering their larger community in promoting acceptance, integrity, and strength.","Greek Life - Sororities, Service - Community Involvement",[sigdelts.ucla@gmail.com](mailto:sigdelts.ucla@gmail.com),[http://rushsds.wixsite.com/sigmadeltasigmaucla](http://rushsds.wixsite.com/sigmadeltasigmaucla),https://www.facebook.com/uclasigmadeltasigma,https://www.instagram.com/ucla_sds/,,,
"Sigma Gamma Rho Sorority, Inc.","Sigma Gamma Rho Sorority's aim is to enhance the quality of life within the community. Public service, leadership development and education of youth are the hallmark of the organization's programs and activities. Sigma Gamma Rho addresses concerns that impact society educationally, civically, and economically.","Greek Life - Sororities, Service - Community Involvement",[mualphaucla@gmail.com](mailto:mualphaucla@gmail.com),[http://sgrho1922.org](http://sgrho1922.org/),,unsafe: https://www.instagram.com/uclamualpha,,,
"Sigma Lambda Beta International Fraternity, Inc.","To educate society using knowledge and awareness of the Latino population, as well as other ethnic groups. To initiate and participate in civic, educational, social, and cultural functions enhancing the general welfare of the public addressed. To promote events and strategies directed towards the development of a better image for all races on a local, regional, national, and international level.","Greek Life - Fraternities, Service - Community Involvement",[slb.president.ucla@gmail.com](mailto:slb.president.ucla@gmail.com),[http://sigmalambdabeta.com](http://sigmalambdabeta.com/),,https://www.instagram.com/bruinbetas/?hl=en,,,
Sikh Collegiate Federation,"The mission of the Sikh Collegiate Federation (SCF) is to build a Sikh political campus voice through strengthening the power of Sikh and disenfranchised communities via civic engagement, strategic grassroots mobilization, and awakening based on vichaar (reflection), karam (action), seva, sangat, simran, shaheedi, and santokh. We are inclusive of all and committed to travel this path together in nimrata (humility) and daya (compassion). Membership is open to ALL Sikh college students in California, regardless of whether you have an established chapter on campus or not!","Service - Community Involvement, Religious",[ucla@jakara.org](mailto:ucla@jakara.org),[http://jakara.org](http://jakara.org/),,https://www.instagram.com/jmc.ucla,,,
SLAM! at UCLA,"SLAM! at UCLA is a student-led organization committed to providing all students with accessible, contemporary and tuition-free music instruction. As a part of SLAM, UCLA college students volunteer to teach at local underprivileged middle and high schools. UCLA student volunteers implement a comprehensive curriculum for weekly classes in one of five subjects - guitar, piano, voice, percussion, and rock band - at each of our school partners.","Service, Music",[slamatucla@gmail.com](mailto:slamatucla@gmail.com),[https://bruinslam.wordpress.com/](https://bruinslam.wordpress.com/),,https://www.instagram.com/slamatucla/,,,
Smiles Beyond Boundaries,"At Smiles Beyond Boundaries, we recognize the disparities in dental health faced by underserved communities and are committed to addressing them. We plan to do this by empowering undergraduate pre-dental students in order to contribute to the reduction of these disparities and the promotion of oral health equity for all. Our mission is to equip undergraduate pre-dental students with the tools and knowledge needed to make a difference and to address the oral healthcare disparities that are prevalent in underserved communities through education and volunteerism. We are dedicated to providing undergraduate pre-dental students with hands-on experience and comprehensive education. Through volunteer work and educational initiatives, we wish to empower them in order make a meaningful impact on the oral health of underserved areas.","Service - Community Involvement, Dental",[sbbatucla@gmail.com](mailto:sbbatucla@gmail.com),,,https://www.instagram.com/sbbatucla/,,,
Society and Genetics Undergraduate Organization at UCLA,"Interested in Medicine, Law, Bioethics, or Public Health? Our organization promotes an interdisciplinary approach to current issues at the intersection of science, health, and society. We host dynamic discussions, workshops, career panels, and make it a primary goal to provide long lasting resources for our members. We also have a mentorship program where we match upperclassmen and lowerclassmen with similar interests. Come check us out!","Academic, Service - Outreach",[socgen.ucla@gmail.com](mailto:socgen.ucla@gmail.com),[https://socgenucla.wixsite.com/sguo](https://socgenucla.wixsite.com/sguo),https://www.facebook.com/socgen.ucla/,https://www.instagram.com/uclasguo/,https://mobile.twitter.com/uclasguo,,
SOLACE: Student Organization for Los Angeles Community Empowerment,"Our club, SOLACE, is a student-run organization dedicated to addressing systemic issues affecting vulnerable populations in Los Angeles. Our mission is to bridge the gap between communities and access to critical services, including healthcare, social support, and resources. We achieve this through multifaceted initiatives, including food recovery and distribution, hygiene and resource provision, career development support for women and single mothers, bilingual social services for immigrants, and healthcare advocacy and education. By advocating for social justice, fostering community engagement, and providing essential resources and support, SOLACE strives to create a more equitable and inclusive society where all individuals have the opportunity to thrive.","Service - Outreach, Community Service",[SOLACEatUCLA@gmail.com](mailto:SOLACEatUCLA@gmail.com),,,,,,
Spare a Pair,Spare a Pair is a volunteer organization dedicated to providing Los Angeles' homeless population with new socks and new or gently used sneakers. We will gather resources through donations and fundraising events in order to provide socks and shoes to the houseless and vulnerable populations in the greater Los Angeles community.,"Service - Community Involvement, Service - Outreach",[spareapairucla@gmail.com](mailto:spareapairucla@gmail.com),[http://spareapair.com](http://spareapair.com/),,https://www.instagram.com/spareapair,,,
Speak Out for Service,"Speak Out for Service (SOS) is a student-led organization committed to advocating for equitable healthcare access. Our mission is twofold: first, to raise awareness about the pressing issue of healthcare disparities, shedding light on the barriers individuals face due to socio-economic and cultural factors, and second, to actively work towards bridging these gaps. As a club, we've evolved from our early days of connecting individuals and their families with vital medical, social, and legal resources in Los Angeles to a broader mission that includes educational workshops, awareness campaigns, and meaningful community partnerships. SOS welcomes individuals from all backgrounds who share our passion for creating a more equitable healthcare landscape.","Service - Community Involvement, Medical",[sos@g.ucla.edu](mailto:sos@g.ucla.edu),[https://www.speakoutforservice.org/](https://www.speakoutforservice.org/),https://www.facebook.com/SOSatUCLA/,https://www.instagram.com/speakoutforservice/,,,
Special Olympics @ DGSOM,Special Olympics @ DGSOM has three goals: - Increase awareness for inclusive health practices by hosting faculty-led workshops and panels - Expose medical students to careers focused on treating patients with disability through discussions and shadowing - Serve Special Olympics athletes by collaborating with Special Olympics Southern California and the undergraduate Special Olympics group,"Medical, Service",[christinaim@mednet.ucla.edu](mailto:christinaim@mednet.ucla.edu),,,,,,
Special Olympics at UCLA,"To provide athletic training and social opportunities for individuals with intellectual and developmental disabilities. Through weekly practices, we encourage people of all abilities to discover new strengths and friendships through sports.","Service, Sports",[bruinspecialo@gmail.com](mailto:bruinspecialo@gmail.com),,,https://www.instagram.com/bruinspecialo/,,,
Special Patient Care Club,"Special Patient Care Club aims to increase awareness, understanding and empathy with the special needs population. The goal is to educate UCLA dental students with educational workshops, community service events, and lunchtime lectures. We hope to encourage UCLA dental students to treat the special needs population in their general clinic in the future.","Service - Outreach, Service - Community Involvement",[uclaspecialpatientcareclub@gmail.com](mailto:uclaspecialpatientcareclub@gmail.com),,,https://www.instagram.com/uclaspcc/,,,
Splash@UCLA,"Splash@UCLA is dedicated to revealing the joy of teaching to university students and preserving the love of learning of high schoolers in the greater LA community by providing fun and accessible educational programming. At Splash, which is a one-day educational outreach program that takes place on UCLA's campus, UCLA students get to design and teach their own class about anything they are are passionate about, in their own style. Then, motivated and curious high school students take ownership of their own education and broaden their horizons by learning from UCLA students! The classes can range from anything fun and non-academic--such as Chinese Chess and Rhythm Gaming--to the most challenging academic--such as Genetics and Quantum Mechanics. We also strive to reach students in underserved communities and open new avenues for higher education by providing informative courses on college admissions and financial aid, as well as ""life in college"" courses taught by current students from various backgrounds. We invite you to come join our community of teachers and learners at the cutting-edge of making a difference in education!","Educational, Service",[splasheventatucla@gmail.com](mailto:splasheventatucla@gmail.com),[http://splashatucla.learningu.org/](http://splashatucla.learningu.org/),https://sa.ucla.edu/www.facebook.com/SplashAtUCLA/,https://www.instagram.com/splashucla/,,,
SPROUT,"STEM Promoting Undergraduate Team (SPROUT) at UCLA’s mission is to increase opportunities for young students to experience STEM. To do this, SPROUT’s undergraduate students will bring free, one-day STEM Field Days to LAUSD K-5 schools. SPROUT’s goals are to: 1) plant the idea that STEM and higher education are options for every student, 2) teach undergraduate students to develop and teach feasible STEM events, and 3) establish an interdisciplinary network of undergraduate students passionate about STEM education.","Educational, Service - Community Involvement",[patrickmngo@g.ucla.edu](mailto:patrickmngo@g.ucla.edu),,,https://www.instagram.com/sproutatucla/,,,
